<doc id="bv_doc_id__3" document_title="Kelsen Entwurf III" created_not_before="1919-05-01" created_not_after="1919-11-30" creation_year="1919" state_of_correction="text_correct" document_type="Typoskript" text_type="Verfassungsentwurf" dataset="Gesetzestexte & Entwürfe" attrs="word lemma type">
Bundesgebiet	NOUN	Bundesgebiet	Nom				Neut		Sing						
bildet	VERB	bilden						Ind	Sing	3				Pres	Fin
ein	DET	ein	Acc	Ind			Neut		Sing			Art			
einheitliches	ADJ	einheitlich	Acc		Pos		Neut		Sing						
Zoll-	X	Zoll													
und	CCONJ	und													
Handelsgebiet	NOUN	Handelsgebiet	Acc				Neut		Sing						
<g/>
.	
Innerhalb	ADP	innerhalb													
der	DET	der	Gen	Def			Fem		Plur			Art			
Grenzen	NOUN	Grenze	Gen				Fem		Plur						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
dürfen	AUX	dürfen						Ind	Plur	3				Pres	Fin
keinerlei	DET	keinerlei										Ind			
Zwischenzollinien	NOUN	Zwischenzollinie	Nom				Fem		Plur						
errichtet	VERB	errichten													Part
werden	AUX	werden													Inf
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
5.	NUM	5.													
Eine	DET	ein	Nom	Ind			Fem		Sing			Art			
Aenderung	NOUN	Aenderung	Nom				Fem		Sing						
des	DET	der	Gen	Def			Neut		Sing			Art			
Bundesgebietes	NOUN	Bundesgebiet	Gen				Neut		Sing						
<g/>
,	
die	PRON	der	Nom				Fem		Sing			Rel			
zugleich	ADV	zugleich													
eine	DET	ein	Nom	Ind			Fem		Sing			Art			
Aenderung	NOUN	Aenderung	Nom				Fem		Sing						
eines	DET	ein	Gen	Ind			Neut		Sing			Art			
Landesgebietes	NOUN	Landesgebiet	Gen				Neut		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
<g/>
,	
ebenso	ADV	ebenso													
eine	DET	ein	Nom	Ind			Fem		Sing			Art			
Aenderung	NOUN	Aenderung	Nom				Fem		Sing						
d	X	d													
der	DET	der	Gen	Def			Fem		Sing			Art			
Landesgrenze	NOUN	Landesgrenze	Gen				Fem		Sing						
innerhalb	ADP	innerhalb													
des	DET	der	Gen	Def			Neut		Sing			Art			
Bundesgebietes	NOUN	Bundesgebiet	Gen				Neut		Sing						
<g/>
,	
kann	AUX	können						Ind	Sing	3				Pres	Fin
nur	ADV	nur													
durch	ADP	durch													
übereinstimmende	ADJ	übereinstimmend	Acc		Pos		Neut		Plur						
Verfassungsgesetze	NOUN	Verfassungsgesetz	Acc				Neut		Plur						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
und	CCONJ	und													
desjenigen	DET	desjenigen	Gen				Neut		Sing			Dem			
Landes	NOUN	Land	Gen				Neut		Sing						
erfolgen	VERB	erfolgen													Inf
<g/>
,	
dessen	DET	der	Gen				Neut		Sing			Rel			
Gebiet	NOUN	Gebiet	Nom				Neut		Sing						
eine	DET	ein	Acc	Ind			Fem		Sing			Art			
Veränderung	NOUN	Veränderung	Acc				Fem		Sing						
erfährt	VERB	erfahren						Ind	Sing	3				Pres	Fin
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
6.	NUM	6.													
Jeder	DET	jeder	Nom				Masc		Sing			Ind			
Landesbürger	NOUN	Landesbürger	Nom				Masc		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
Bürger	NOUN	Bürger	Nom				Masc		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
<g/>
.	
Die	DET	der	Nom	Def			Fem		Sing			Art			
Landesbürgerschaft	NOUN	Landesbürgerschaft	Nom				Fem		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
an	ADP	an													
die	DET	der	Acc	Def			Fem		Sing			Art			
Heimatsberechtigung	NOUN	Heimatsberechtigung	Acc				Fem		Sing						
in	ADP	in													
der	DET	der	Dat	Def			Fem		Sing			Art			
Gemeinde	NOUN	Gemeinde	Dat				Fem		Sing						
eines	DET	ein	Gen	Ind			Neut		Sing			Art			
Landes	NOUN	Land	Gen				Neut		Sing						
gebunden	VERB	binden													Part
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
7.	NUM	7.													
Jeder	DET	jeder	Nom				Masc		Sing			Ind			
Bundesangehörige	NOUN	Bundesangehöriger	Nom				Masc		Sing						
hat	VERB	haben						Ind	Sing	3				Pres	Fin
in	ADP	in													
jedem	DET	jeder	Dat				Neut		Sing			Ind			
Lande	NOUN	Land	Dat				Neut		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
die	DET	der	Acc	Def					Plur			Art			
gleichen	ADJ	gleich	Acc		Pos				Plur						
Rechte	NOUN	Recht	Acc				Neut		Plur						
und	CCONJ	und													
Pflichten	NOUN	Pflicht	Acc				Fem		Plur						
wie	ADP	wie													
die	DET	der	Nom	Def					Plur			Art			
Angehörigen	NOUN	angehörige	Nom						Plur						
der	DET	der	Gen	Def			Neut		Plur			Art			
Länder	NOUN	Land	Gen				Neut		Plur						
selbst	ADV	selbst													
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
8.	NUM	8.													
Die	DET	der	Nom	Def			Neut		Plur			Art			
selbständigen	ADJ	selbständig	Nom		Pos		Neut		Plur						
Länder	NOUN	Land	Nom				Neut		Plur						
Niederösterreich	PROPN	Niederösterreich	Nom				Neut		Sing						
etz	X	etz													
.	NOUN	.													
übertragen	VERB	übertragen						Ind	Plur	3				Pres	Fin
dem	DET	der	Dat	Def			Masc		Sing			Art			
Bunde	NOUN	Bund	Dat				Masc		Sing						
ihre	DET	ihr	Acc				Fem		Sing		Yes	Prs			
Staatsgewalt	NOUN	Staatsgewalt	Acc				Fem		Sing						
in	ADP	in													
den	DET	der	Dat	Def			Fem		Plur			Art			
folgenden	ADJ	folgend	Dat		Pos		Fem		Plur						
Angelegenheiten	NOUN	Angelegenheit	Dat				Fem		Plur						
<g/>
:	
1	NUM	1													
<g/>
)	
Die	DET	der	Nom	Def			Fem		Plur			Art			
auswärtigen	ADJ	auswärtig	Acc		Pos		Fem		Plur						
Angelegenheiten	NOUN	Angelegenheit	Acc				Fem		Plur						
<g/>
,	
2	NUM	2													
<g/>
)	
das	DET	der	Nom	Def			Neut		Sing			Art			
Militärwesen	NOUN	Militärwesen	Nom				Neut		Sing						
<g/>
,	
3	NUM	3													
<g/>
)	
die	DET	der	Nom	Def			Fem		Sing			Art			
Sicherheitspolizei	NOUN	Sicherheitspolizei	Nom				Fem		Sing						
in	ADP	in													
Gemeinden	NOUN	Gemeinde	Dat				Fem		Plur						
bis	ADP	bis													
zu	ADV	zu													
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
Einwohnern	NOUN	Einwohner	Dat				Masc		Plur						
<g/>
;	
die	DET	der	Nom	Def			Fem		Sing			Art			
Fremdenpolizei	NOUN	Fremdenpolizei	Nom				Fem		Sing						
und	CCONJ	und													
das	DET	der	Nom	Def			Neut		Sing			Art			
Passwesen	NOUN	Passwesen	Nom				Neut		Sing						
<g/>
,	
4	NUM	4													
<g/>
)	
die	DET	der	Nom	Def			Fem		Plur			Art			
Bundesfinanzen	NOUN	Bundesfinanz	Nom				Fem		Plur						
<g/>
,	
das	DET	der	Nom	Def			Neut		Sing			Art			
Monopolwesen	NOUN	Monopolwesen	Nom				Neut		Sing						
und	CCONJ	und													
die	DET	der	Nom	Def			Fem		Sing			Art			
Verwaltung	NOUN	Verwaltung	Nom				Fem		Sing						
der	DET	der	Gen	Def			Masc		Plur			Art			
Bundesbetriebe	NOUN	Bundesbetrieb	Gen				Masc		Plur						
<g/>
,	
5	NUM	5													
<g/>
)	
das	DET	der	Nom	Def			Neut		Sing			Art			
Zollwesen	NOUN	Zollwesen	Nom				Neut		Sing						
<g/>
,	
Geld-	X	Geld													
und	CCONJ	und													
Bankwesen	NOUN	Bankwesen	Nom				Neut		Sing						
<g/>
;	
Handel	NOUN	Handel	Nom				Masc		Sing						
<g/>
,	
Gewerbe	NOUN	Gewerbe	Nom				Neut								
<g/>
,	
Industrie	NOUN	Industrie	Nom				Fem		Sing						
und	CCONJ	und													
-	X	--													
3	X	3													
-Verkehr	NOUN	Verkehr	Nom				Masc		Sing						
<g/>
,	
Bergwesen	NOUN	Bergwesen	Nom				Neut		Sing						
<g/>
,	
6	NUM	6													
<g/>
)	
Mass-	X	Mass													
und	CCONJ	und													
Gewichtswesen	NOUN	Gewichtswesen	Nom				Neut		Sing						
<g/>
,	
Punzierungswesen	NOUN	Punzierungswesen	Nom				Neut		Sing						
<g/>
,	
7	NUM	7													
<g/>
)	
Zivil-	X	Zivil													
und	CCONJ	und													
Strafjustiz	NOUN	Strafjustiz	Nom				Fem		Sing						
<g/>
,	
8)	NUM	8)													
Kultus	NOUN	Kultus	Nom				Fem		Sing						
und	CCONJ	und													
Hochschulwesen	NOUN	Hochschulwesen	Nom				Neut		Sing						
<g/>
,	
9	NUM	9													
<g/>
)	
Volksgesundheit	NOUN	Volksgesundheit	Nom				Fem		Sing						
und	CCONJ	und													
soziale	ADJ	sozial	Nom		Pos		Fem		Sing						
Fürsorge	NOUN	Fürsorge	Nom				Fem		Sing						
<g/>
,	
In	ADP	in													
diesen	DET	dieser	Dat				Fem		Plur			Dem			
Angelegenheiten	NOUN	Angelegenheit	Dat				Fem		Plur						
steht	VERB	stehen						Ind	Sing	3				Pres	Fin
dem	DET	der	Dat	Def			Masc		Sing			Art			
Bunde	NOUN	Bund	Dat				Masc		Sing						
die	DET	der	Nom	Def			Fem		Sing			Art			
Gesetzgebung	NOUN	Gesetzgebung	Nom				Fem		Sing						
und	CCONJ	und													
Vollziehung	NOUN	Vollziehung	Nom				Fem		Sing						
zu	ADP	zu													
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
9.	NUM	9.													
Der	DET	der	Dat	Def			Fem		Sing			Art			
Gesetzgebung	NOUN	Gesetzgebung	Dat				Fem		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
übertragen	VERB	übertragen													Part
<g/>
:	
1	ADV	1													
<g/>
)	
die	DET	der	Nom	Def			Fem		Sing			Art			
Aenderung	NOUN	Aenderung	Nom				Fem		Sing						
der	DET	der	Gen	Def			Fem		Sing			Art			
Bundesverfassung	NOUN	Bundesverfassung	Gen				Fem		Sing						
<g/>
,	
insbesondere	ADV	insbesondere													
auch	ADV	auch													
hinsichtlich	ADP	hinsichtlich													
des	DET	der	Gen	Def			Neut		Sing			Art			
Verhältnisses	NOUN	Verhältnis	Gen				Neut		Sing						
der	DET	der	Gen	Def			Neut		Plur			Art			
souveränen	ADJ	souverän	Gen		Pos		Neut		Plur						
Länder	NOUN	Land	Gen				Neut		Plur						
zum	ADP	zu	Dat				Masc		Sing						
Bunde	NOUN	Bund	Dat				Masc		Sing						
<g/>
,	
2	NUM	2													
<g/>
)	
die	DET	der	Acc	Def			Fem		Sing			Art			
Bestimmung	NOUN	Bestimmung	Acc				Fem		Sing						
der	DET	der	Gen	Def			Fem		Sing			Art			
Art	NOUN	Art	Gen				Fem		Sing						
und	CCONJ	und													
des	DET	der	Gen	Def			Masc		Sing			Art			
Umfanges	NOUN	Umfang	Gen				Masc		Sing						
des	DET	der	Gen	Def			Neut		Sing			Art			
den	DET	der	Dat	Def			Neut		Plur			Art			
Ländern	NOUN	Land	Dat				Neut		Plur						
zustehenden	ADJ	zustehend	Gen		Pos		Neut		Sing						
Rechtes	NOUN	Recht	Gen				Neut		Sing						
öffentliche	ADJ	öffentlich	Acc		Pos		Fem		Plur						
Abgaben	NOUN	Abgabe	Acc				Fem		Plur						
abzuschreiben	VERB	abschreiben													Inf
und	CCONJ	und													
einzuheben	VERB	einheben													Inf
<g/>
,	
3	NUM	3													
<g/>
)	
die	DET	der	Acc	Def			Fem		Sing			Art			
Regelung	NOUN	Regelung	Acc				Fem		Sing						
des	DET	der	Gen	Def			Neut		Sing			Art			
Staatsbürger-	X	Staatsbürger													
und	CCONJ	und													
Heimatrechtes	NOUN	Heimatrecht	Gen				Neut		Sing						
<g/>
,	
4	NUM	4													
<g/>
)	
die	DET	der	Acc	Def			Fem		Sing			Art			
Regelung	NOUN	Regelung	Acc				Fem		Sing						
des	DET	der	Gen	Def			Neut		Sing			Art			
Bevölkerungswesens	NOUN	Bevölkerungswesen	Gen				Neut		Sing						
<g/>
,	
5	NUM	5													
<g/>
)	
die	DET	der	Acc	Def			Masc		Plur			Art			
Grundzüge	NOUN	Grundzug	Acc				Masc		Plur						
der	DET	der	Gen	Def			Fem		Sing			Art			
Verwaltungsorganisation	NOUN	Verwaltungsorganisation	Gen				Fem		Sing						
der	DET	der	Gen	Def			Neut		Plur			Art			
Länder	NOUN	Land	Gen				Neut		Plur						
<g/>
,	
die	DET	der	Acc	Def			Fem		Sing			Art			
Regelung	NOUN	Regelung	Acc				Fem		Sing						
des	DET	der	Gen	Def			Neut		Sing			Art			
Administrativverfahrens	NOUN	Administrativverfahren	Gen				Neut		Sing						
und	CCONJ	und													
die	DET	der	Acc	Def			Fem		Sing			Art			
Festsetzung	NOUN	Festsetzung	Acc				Fem		Sing						
der	DET	der	Gen	Def			Masc		Plur			Art			
allgemeinen	ADJ	allgemein	Gen		Pos		Masc		Plur						
Grundsätze	NOUN	Grundsatz	Gen				Masc		Plur						
des	DET	der	Gen	Def			Neut		Sing			Art			
Verwaltungsstrafrechtes	NOUN	Verwaltungsstrafrecht	Gen				Neut		Sing						
<g/>
,	
6	NUM	6													
<g/>
)	
die	DET	der	Acc	Def			Fem		Sing			Art			
Feststellung	NOUN	Feststellung	Acc				Fem		Sing						
der	DET	der	Gen	Def			Masc		Plur			Art			
Grundsätze	NOUN	Grundsatz	Gen				Masc		Plur						
des	DET	der	Gen	Def			Neut		Sing			Art			
Wasser	NOUN	Wasser	Gen				Neut		Sing						
und	CCONJ	und													
Elektrizitätsrechtes	NOUN	Elektrizitätsrecht	Gen				Neut		Sing						
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
10.	NUM	10.													
Bundesrecht	NOUN	Bundesrecht	Nom				Neut		Sing						
bricht	VERB	brechen						Ind	Sing	3				Pres	Fin
Landesrecht	NOUN	Landesrecht	Acc				Neut		Sing						
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
11.	NUM	11.													
Soferne	SCONJ	Soferne													
eine	DET	ein	Nom	Ind			Fem		Sing			Art			
Angelegenheit	NOUN	Angelegenheit	Nom				Fem		Sing						
nicht	PART	nicht													
ausdrücklich	ADV	ausdrücklich			Pos										
durch	ADP	durch													
die	DET	der	Acc	Def			Fem		Sing			Art			
Bundesverfassung	NOUN	Bundesverfassung	Acc				Fem		Sing						
der	DET	der	Gen	Def			Fem		Sing			Art			
Gesetzgebung	NOUN	Gesetzgebung	Gen				Fem		Sing						
oder	CCONJ	oder													
auch	ADV	auch													
der	DET	der	Gen	Def			Fem		Sing			Art			
Vollziehung	NOUN	Vollziehung	Gen				Fem		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
übertragen	VERB	übertragen													Part
ist	AUX	sein						Ind	Sing	3				Pres	Fin
<g/>
,	
verbleibt	VERB	verbleiben						Ind	Sing	3				Pres	Fin
sie	PRON	sie	Nom				Fem		Sing	3		Prs			
im	ADP	in	Dat				Masc		Sing						
Wirkungsbereiche	NOUN	Wirkungsbereich	Dat				Masc		Sing						
der	DET	der	Gen	Def			Neut		Plur			Art			
Länder	NOUN	Land	Gen				Neut		Plur						
<g/>
.	
Wo	SCONJ	wo										Int			
der	DET	der	Dat	Def			Fem		Sing			Art			
Bundesgesetzgebung	NOUN	Bundesgesetzgebung	Dat				Fem		Sing						
lediglich	ADV	lediglich													
die	DET	der	Nom	Def			Fem		Sing			Art			
Regelung	NOUN	Regelung	Nom				Fem		Sing						
der	DET	der	Gen	Def			Masc		Plur			Art			
Grundzüge	NOUN	Grundzug	Gen				Masc		Plur						
vorbehalten	VERB	vorbehalten													Part
ist	AUX	sein						Ind	Sing	3				Pres	Fin
<g/>
,	
obliegt	VERB	obliegen						Ind	Sing	3				Pres	Fin
die	DET	der	Nom	Def			Fem		Sing			Art			
nähere	ADJ	nah	Nom		Cmp		Fem		Sing						
Durchführung	NOUN	Durchführung	Nom				Fem		Sing						
innerhalb	ADP	innerhalb													
des	DET	der	Gen	Def			Masc		Sing			Art			
bundesgesetzlich	ADV	bundesgesetzlich			Pos										
festgelegten	ADJ	festgelegt	Gen		Pos		Masc		Sing						
Rahmens	NOUN	Rahmen	Gen				Masc		Sing						
der	DET	der	Gen	Def			Fem		Sing			Art			
Landesgesetzgebung	NOUN	Landesgesetzgebung	Gen				Fem		Sing						
<g/>
.	
Zweiter	ADJ	zweiter	Nom		Pos		Masc		Sing						
Abschnitt	NOUN	Abschnitt	Nom				Masc		Sing						
<g/>
.	
Von	ADP	von													
der	DET	der	Dat	Def			Fem		Sing			Art			
Gesetzgebung	NOUN	Gesetzgebung	Dat				Fem		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
<g/>
.	
a	X	a													
<g/>
)	
Der	DET	der	Nom	Def			Masc		Sing			Art			
Bundestag	NOUN	Bundestag	Nom				Masc		Sing						
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
12.	NUM	12.													
Der	DET	der	Nom	Def			Masc		Sing			Art			
vom	ADP	von	Dat				Neut		Sing						
ganzen	ADJ	ganz	Dat		Pos		Neut		Sing						
Bundesvolk	NOUN	Bundesvolk	Dat				Neut		Sing						
gewählte	ADJ	gewählt	Nom		Pos		Masc		Sing						
Bundestag	NOUN	Bundestag	Nom				Masc		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
das	DET	der	Nom	Def			Neut		Sing			Art			
höchste	ADJ	hoch	Nom		Sup		Neut		Sing						
Organ	NOUN	Organ	Nom				Neut		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
13.	NUM	13.													
Der	DET	der	Nom	Def			Masc		Sing			Art			
Sitz	NOUN	Sitz	Nom				Masc		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundestages	NOUN	Bundestag	Gen				Masc		Sing						
ist	AUX	sein						Ind	Sing	3				Pres	Fin
die	DET	der	Nom	Def			Fem		Sing			Art			
Bundeshauptstadt	NOUN	Bundeshauptstadt	Nom				Fem		Sing						
Wien	PROPN	Wien	Nom				Neut		Sing						
<g/>
.	
Für	ADP	für													
die	DET	der	Acc	Def			Fem		Sing			Art			
Dauer	NOUN	Dauer	Acc				Fem		Sing						
ausserordentlicher	ADJ	ausserordentlich	Gen		Pos		Neut		Plur						
Verhältnisse	NOUN	Verhältnis	Gen				Neut		Plur						
kann	AUX	können						Ind	Sing	3				Pres	Fin
der	DET	der	Nom	Def			Masc		Sing			Art			
Bundespräsident	NOUN	Bundespräsident	Nom				Masc		Sing						
<g/>
(	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
<g/>
.	
<g/>
.	
<g/>
.	
<g/>
.	
der	DET	der	Gen	Def			Fem		Sing			Art			
Bundesverfassung	NOUN	Bundesverfassung	Gen				Fem		Sing						
<g/>
)	
auf	ADP	auf													
An--	NOUN	An--	Acc				Masc		Sing						
5	NOUN	5	Acc				Masc		Sing						
-trag	NOUN	-trag	Acc				Masc		Sing						
der	DET	der	Gen	Def			Fem		Sing			Art			
Bundesregierung	NOUN	Bundesregierung	Gen				Fem		Sing						
den	DET	der	Acc	Def			Masc		Sing			Art			
Bundestag	NOUN	Bundestag	Acc				Masc		Sing						
in	ADP	in													
einen	DET	ein	Acc	Ind			Masc		Sing			Art			
anderen	ADJ	anderer	Acc		Pos		Masc		Sing						
Ort	NOUN	Ort	Acc				Masc		Sing						
des	DET	der	Gen	Def			Neut		Sing			Art			
Bundesgebietes	NOUN	Bundesgebiet	Gen				Neut		Sing						
berufen	VERB	berufen													Inf
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
14.	NUM	14.													
Dem	DET	der	Dat	Def			Masc		Sing			Art			
Bundestag	NOUN	Bundestag	Dat				Masc		Sing						
obliegt	VERB	obliegen						Ind	Sing	3				Pres	Fin
die	DET	der	Nom	Def			Fem		Sing			Art			
Gesetzgebung	NOUN	Gesetzgebung	Nom				Fem		Sing						
des	DET	der	Gen	Def			Masc		Sing			Art			
Bundes	NOUN	Bund	Gen				Masc		Sing						
<g/>
.	
Der	DET	der	Nom	Def			Masc		Sing			Art			
Bundestag	NOUN	Bundestag	Nom				Masc		Sing						
allein	ADV	allein													
hat	VERB	haben						Ind	Sing	3				Pres	Fin
das	DET	der	Acc	Def			Neut		Sing			Art			
Recht	NOUN	Recht	Acc				Neut		Sing						
Krieg	NOUN	Krieg	Acc				Masc		Sing						
zu	PART	zu													
erklären	VERB	erklären													Inf
<g/>
.	
Alle	DET	aller	Nom				Masc		Plur			Ind			
Staatsverträge	NOUN	Staatsvertrag	Nom				Masc		Plur						
bedürfen	VERB	bedürfen						Ind	Plur	3				Pres	Fin
der	DET	der	Gen	Def			Fem		Sing			Art			
Genehmigung	NOUN	Genehmigung	Gen				Fem		Sing						
durch	ADP	durch													
den	DET	der	Acc	Def			Masc		Sing			Art			
Bundestag	NOUN	Bundestag	Acc				Masc		Sing						
<g/>
.	
Nur	ADV	nur													
Verwaltungsverträge	NOUN	Verwaltungsvertrag	Acc				Masc		Plur						
geringerer	ADJ	gering	Gen		Cmp		Fem		Sing						
Bedeutung	NOUN	Bedeutung	Gen				Fem		Sing						
<g/>
(	
Regierungsübereinkommen	NOUN	Regierungsübereinkommen					Neut		Sing						
<g/>
)	
hat	AUX	haben						Ind	Sing	3				Pres	Fin
die	DET	der	Nom	Def			Fem		Sing			Art			
Bundesregierung	NOUN	Bundesregierung	Nom				Fem		Sing						
zu	PART	zu													
genehmigen	VERB	genehmigen													Inf
<g/>
.	
Art	NOUN	Art	Nom				Masc		Sing						
.	NOUN	.	Nom				Masc		Sing						
15.	NUM	15.													
Dem	DET	der	Dat	Def			Masc		Sing			Art			
Bundestag	NOUN	Bundestag	Dat				Masc		Sing						
allein	ADV	allein													
obliegt	VERB	obliegen						Ind	Sing	3				Pres	Fin
die	DET	der	Nom	Def			Fem		Sing			Art			
jährliche	ADJ	jährlich	Nom		Pos		Fem		Sing						
Bewilligung	NOUN	Bewilligung	Nom				Fem		Sing						
des	DET	der	Gen	Def			Neut		Sing			Art			
Bundesbudgets	NOUN	Bundesbudget	Gen				Neut		Sing						
<g/>
,	
die	DET	der	Nom	Def			Fem		Sing			Art			
Aufnahme	NOUN	Aufnahme	Nom				Fem		Sing						
und	CCONJ	und													
